assetid,date,signal
125132,2011-07-20,1.0
125132,2011-11-15,1.0
125132,2012-01-05,1.0
125132,2012-03-22,1.0
125132,2012-05-23,-1.0
125132,2012-11-16,-1.0
125132,2013-03-08,
125132,2014-03-24,1.0
125132,2014-06-05,1.0
125132,2014-08-26,1.0
125132,2014-08-28,1.0
125132,2015-04-27,1.0
125142,2006-11-06,0.0
125142,2006-11-30,-1.0
125142,2007-01-24,0.0
125142,2007-02-07,0.0
125142,2007-02-23,-1.0
125142,2007-03-08,-1.0
125142,2007-04-13,0.0
125142,2007-05-11,0.0
125142,2007-05-22,0.0
125142,2007-06-12,0.0
125142,2007-06-28,0.0
125142,2007-07-12,1.0
125142,2007-08-17,1.0
125142,2007-09-11,0.0
125142,2007-10-10,0.0
125142,2007-10-26,0.0
125142,2007-11-09,0.0
125142,2007-11-27,-1.0
125142,2008-01-04,0.0
125142,2008-01-11,0.0
125142,2008-02-08,0.0
125142,2008-04-07,0.0
125142,2008-06-13,0.0
125142,2008-08-08,-1.0
125142,2008-09-09,0.0
125142,2008-09-19,0.0
125142,2008-10-09,0.0
125142,2008-12-10,0.0
125142,2009-01-12,-1.0
125142,2009-02-06,0.0
125142,2009-03-10,0.0
125142,2009-04-09,1.0
125142,2009-05-11,0.0
125142,2009-06-09,0.0
125142,2009-08-07,1.0
125142,2009-09-09,0.0
125142,2009-10-12,0.0
125142,2009-11-12,0.0
125142,2009-12-11,1.0
125142,2010-01-12,1.0
125142,2010-01-15,1.0
125142,2010-02-09,1.0
125142,2010-03-09,0.0
125142,2010-04-09,0.0
125142,2010-07-13,1.0
125142,2010-08-10,1.0
125142,2010-09-13,1.0
125142,2010-10-11,1.0
125142,2010-11-11,1.0
125142,2011-01-13,0.0
125142,2011-02-14,0.0
125142,2011-03-18,-1.0
125142,2011-04-15,1.0
125142,2011-05-13,0.0
125142,2011-06-16,1.0
125142,2011-07-18,0.0
125142,2011-09-13,-1.0
125142,2011-10-17,-1.0
125142,2011-12-08,-1.0
125142,2012-01-19,-1.0
125142,2012-02-17,-1.0
125142,2012-03-14,0.0
125142,2012-06-20,-1.0
125142,2012-10-12,-1.0
125142,2013-01-18,-1.0
125142,2013-02-20,-1.0
125142,2013-04-17,-1.0
125142,2013-05-17,0.0
125142,2013-06-19,0.0
125142,2013-07-17,0.0
125142,2013-09-17,0.0
125142,2013-10-18,0.0
125142,2013-11-15,0.0
125142,2014-01-21,0.0
125142,2014-04-22,-1.0
125142,2014-08-01,0.0
125142,2014-09-19,-1.0
125142,2014-11-25,1.0
125142,2015-02-19,1.0
125142,2015-05-04,0.0
125142,2015-07-06,0.0
125142,2015-09-18,-1.0
125142,2015-10-29,-1.0
125142,2015-12-21,-1.0
125142,2016-02-10,-1.0
125142,2016-03-07,-1.0
125142,2016-04-29,-1.0
125142,2016-06-10,-1.0
125142,2016-07-29,-1.0
125142,2016-09-16,-1.0
125142,2016-11-03,-1.0
125142,2017-02-15,1.0
125142,2017-04-27,-1.0
125142,2017-06-16,-1.0
125142,2017-08-01,-1.0
125142,2017-09-13,-1.0
125142,2017-12-20,1.0
125142,2018-02-12,1.0
125142,2018-04-03,0.0
125142,2018-06-19,0.0
125142,2018-08-03,0.0
125142,2018-09-11,0.0
125142,2018-11-02,0.0
125142,2019-02-13,0.0
125142,2019-05-06,0.0
125142,2019-08-02,0.0
125142,2019-09-23,-1.0
125142,2019-11-01,-1.0
125142,2020-02-13,0.0
125142,2020-03-13,0.0
125142,2020-06-26,1.0
125142,2020-07-31,1.0
125142,2020-09-18,1.0
125142,2020-10-30,1.0
125142,2020-12-17,1.0
125142,2021-02-03,1.0
125142,2021-03-26,1.0
125142,2021-04-30,1.0
125142,2021-06-22,1.0
125142,2021-07-30,1.0
125142,2021-09-22,1.0
125142,2021-10-29,1.0
125173,2007-10-19,
125173,2007-10-29,0.0
125173,2007-12-20,-1.0
125173,2008-01-15,-1.0
125173,2008-01-29,0.0
125173,2008-02-05,-1.0
125173,2008-02-29,-1.0
125173,2008-03-25,-1.0
125173,2008-04-23,-1.0
125173,2008-06-11,-1.0
125173,2008-07-28,0.0
125173,2008-09-04,-1.0
125173,2008-09-15,1.0
125173,2009-03-13,0.0
125173,2009-04-09,0.0
125173,2009-05-21,-1.0
125173,2009-07-24,0.0
125173,2009-09-09,0.0
125173,2009-12-01,1.0
125173,2010-02-03,1.0
125173,2010-06-11,-1.0
125173,2010-08-20,-1.0
125173,2011-02-15,0.0
125173,2012-03-20,1.0
125360,2006-08-04,0.0
125360,2006-08-15,0.0
125360,2006-09-26,1.0
125360,2006-10-03,0.0
125360,2006-10-05,0.0
125360,2006-11-17,0.0
125360,2006-11-30,0.0
125360,2007-02-01,-1.0
125360,2007-03-01,0.0
125360,2007-04-03,-1.0
125360,2007-05-24,0.0
125360,2007-06-08,0.0
125360,2007-06-29,0.0
125360,2007-07-13,1.0
125360,2007-08-01,0.0
125360,2007-08-07,0.0
125360,2007-09-04,1.0
125360,2007-10-15,1.0
125360,2007-11-12,
125360,2008-01-10,0.0
125360,2008-01-28,0.0
125360,2008-02-01,0.0
125360,2008-02-22,0.0
125360,2008-03-06,1.0
125360,2008-03-10,
125360,2008-03-12,0.0
125360,2008-04-02,0.0
125360,2008-04-10,0.0
125360,2008-05-09,0.0
125360,2008-05-28,0.0
125360,2008-09-02,-1.0
125360,2008-10-07,
125360,2008-12-03,-1.0
125360,2009-02-10,0.0
125360,2009-02-24,-1.0
125360,2009-03-13,0.0
125360,2009-05-04,0.0
125360,2009-07-07,0.0
125360,2009-08-20,
125360,2009-09-02,1.0
125360,2009-09-16,1.0
125360,2010-02-03,1.0
125360,2010-03-08,1.0
125360,2010-03-22,0.0
125360,2010-03-29,1.0
125360,2010-11-05,
125360,2010-12-21,0.0
125360,2011-03-07,0.0
125360,2011-04-18,0.0
125360,2011-05-25,0.0
125360,2011-06-06,-1.0
125360,2011-06-17,-1.0
125360,2011-07-18,0.0
125360,2011-08-29,-1.0
125360,2011-10-12,0.0
125360,2012-02-23,0.0
125360,2012-04-16,0.0
125360,2012-06-01,-1.0
125360,2012-06-06,-1.0
125360,2012-07-11,-1.0
125360,2012-11-19,-1.0
125360,2013-01-16,0.0
125360,2013-03-26,
125360,2013-06-07,1.0
125360,2013-07-12,-1.0
125360,2013-08-21,-1.0
125360,2013-09-30,-1.0
125360,2013-10-09,-1.0
125360,2013-11-15,-1.0
125360,2013-12-19,1.0
125360,2014-01-13,1.0
125360,2014-02-26,0.0
125360,2014-04-11,0.0
125360,2014-05-16,0.0
125360,2014-10-10,-1.0
125360,2014-11-24,0.0
125360,2015-01-14,0.0
125360,2015-02-09,
125360,2015-04-13,-1.0
125360,2015-05-06,-1.0
125360,2015-07-08,-1.0
125360,2015-08-25,-1.0
